message,label
"Hi Rahul, Good news! You've been selected for the Software Development Internship at NexaByte Solutions. We were impressed with your profile and would love to have you on board. Details: Duration: 3 months, Stipend: Rs 15000/month, Start Date: 10 May 2026. To confirm your acceptance, please pay a one-time registration fee of Rs 2999 via the link below. Congrats once again! Anjali Sharma, HR Team - NexaByte Solutions",0
"Dear Candidate, Congratulations! You have been shortlisted for a premium internship at GlobalTech Innovations. Stipend: Rs 25000/month. To secure your spot, kindly transfer Rs 4999 processing fee to the following UPI ID: globaltech@paytm. Limited seats available - confirm within 12 hours! Best, Recruitment Team",0
"Hello! You have been selected for an exclusive internship opportunity at CloudSync Labs. No interview required! Just fill this form to get started: https://forms.gle/xyz123abc. Hurry, only 5 seats remaining! Pay Rs 1499 registration fee to confirm. Contact us only on WhatsApp for further details.",0
"Urgent Notice: Your application for the Data Science Internship has been approved! You must confirm within 24 hours or your slot will be given to the next candidate. Pay the security deposit of Rs 3500 to lock your position. Reply YES to proceed immediately.",0
"Hi there, We are pleased to inform you that you have been selected for our Summer Internship Program 2026. This is a work-from-home opportunity with a guaranteed stipend of Rs 50000/month. No experience required! Just pay a small processing fee of Rs 999 to get your offer letter. WhatsApp us at +91-9876543210 for more details.",0
"Congratulations! You've won a fully-paid internship at Amazon India! To claim your offer, click here: bit.ly/amazon-intern-2026. You need to pay Rs 2000 as a refundable security deposit. This offer expires in 6 hours. Don't miss this once-in-a-lifetime opportunity!",0
"Dear Student, Based on your resume, you have been shortlisted for an internship at Microsoft. However, we need you to verify your identity by sharing your Aadhaar number and bank account details for stipend processing. Please reply with these details within 48 hours. HR Department, Microsoft India",0
"Hello Candidate, You are selected for a 3-month internship at TechVista Solutions. Stipend: Rs 20000/month. To proceed, purchase our Learning Kit worth Rs 5999 which includes study material and certification. Without the kit, we cannot process your application. Order now: https://techvista-kit.com/buy",0
"FINAL REMINDER: Your internship registration at DigiCorp Academy is incomplete. Complete payment of Rs 1500 within the next 3 hours to avoid cancellation. Seats are filling fast! Pay via Google Pay to 9988776655. Contact only via WhatsApp.",0
"Hi, I'm Priya from InnoTech HR. We saw your LinkedIn profile and want to offer you a Software Developer Internship. Stipend Rs 30000/month, fully remote. But first, you need to complete a paid assessment test (Rs 799) to qualify. Pay here: https://innotech-assessment.in/pay. This is mandatory.",0
"Dear Applicant, Your profile has been reviewed and you are eligible for our Elite Internship Program. Benefits: Rs 40000 stipend, international exposure, guaranteed job offer. Registration fee: Rs 7999 (one-time, non-refundable). Transfer to our official account and share screenshot on WhatsApp +91-8765432109.",0
"Congratulations! You've been selected for Google's Summer of Code internship. To confirm your participation, click this link and fill in your personal details including PAN card and bank account: http://google-soc-verify.com/register. Deadline: Today 11:59 PM.",0
"Exciting opportunity! ABC Corp is hiring interns with ZERO experience required. Work from home, earn Rs 45000/month. Just share this message with 10 friends and pay Rs 499 to register. Forward proof of payment to +91-7654321098. Limited time offer!",0
"Alert: You have been pre-selected for a paid internship at Wipro Technologies. Your candidature will expire if you don't respond within 6 hours. Share your resume, college ID, and Rs 2500 processing fee via PhonePe to 9876543210. This is your last chance!",0
