message,label
"Congratulations Manish! You are selected for Cybersecurity Trainee at Fortune 500 Startup. Stipend: Rs 60000/month. To lock your spot, pay a registration fee of Rs 1999 via GPay to 9876543210 within 6 hours.",0
Hi! Earn Rs 50000 per month as a Graphic Designer. Zero experience required. We provide full training. Just pay Rs 999 for the learning material and start earning tomorrow. WhatsApp us for details.,0
"Dear Karthik, we are offering a work from home Software Engineer internship. Earn Rs 25000 monthly. Registration cost is just Rs 1499. Pay via UPI: fake@paytm. Act fast, only 2 seats left!",0
"Congratulations Amit! You are selected for Content Writer at DigiCorp. Stipend: Rs 25000/month. To lock your spot, pay a security deposit of Rs 12999 via GPay to 9876543210 within 48 hours.",0
Hi! Earn Rs 25000 per month as a Business Analyst. Zero experience required. We provide full training. Just pay Rs 5000 for the learning material and start earning tomorrow. WhatsApp us for details.,0
Hi! Earn Rs 10000 per month as a ML Intern. Zero experience required. We provide full training. Just pay Rs 3499 for the learning material and start earning tomorrow. WhatsApp us for details.,0
"Dear Divya, we are offering a work from home ML Intern internship. Earn Rs 50000 monthly. Registration cost is just Rs 1499. Pay via UPI: fake@paytm. Act fast, only 2 seats left!",0
"Dear Student, Exclusive internship drive for Cybersecurity Trainee. Top companies hiring! Pay Rs 5000 to enroll in our placement program. Money back guarantee if not placed. Call +91-9988776655.",0
"Glad to inform you that, we have selected you for a 6 month internship by details provided by the placement dept. To ensure you will complete the project, you need to deposit 7999. Make sure you do it with 24hrs.",0
URGENT: Your application for HR Executive is approved. Salary: Rs 40000. No interview needed! Pay Rs 4999 background check fee immediately to confirm. Reply YES to get payment link.,0
"Congratulations Neha! You are selected for ML Intern at MegaSoft. Stipend: Rs 25000/month. To lock your spot, pay a onboarding fee of Rs 12999 via GPay to 9876543210 within 24 hours.",0
"Glad to inform you that, we have selected you for a 12 month internship by details provided by the placement dept. To ensure you will complete the project, you need to deposit 2500. Make sure you do it with 24hrs.",0
"You're hired! Role: Software Engineer. Stipend: Rs 1 Lakh. Please verify your identity by sending your Aadhaar card, PAN card, and Rs 1999 background check fee. Contact only via WhatsApp.",0
"Hi Divya, your profile was selected for a premium Cybersecurity Trainee internship. Benefits include free MacBook and Rs 15000 stipend. Pay the Rs 999 courier charges for the laptop delivery today.",0
Job Offer: Frontend Developer. Salary: Rs 30000. Work from home. Share this message with 5 friends and pay Rs 4999 joining fee. 100% placement guarantee. DM on Insta or WhatsApp for info.,0
Job Offer: Marketing Intern. Salary: Rs 1 Lakh. Work from home. Share this message with 5 friends and pay Rs 999 joining fee. 100% placement guarantee. DM on Insta or WhatsApp for info.,0
Job Offer: HR Executive. Salary: Rs 40000. Work from home. Share this message with 5 friends and pay Rs 1499 joining fee. 100% placement guarantee. DM on Insta or WhatsApp for info.,0
"Dear Rohan, we are offering a work from home Software Engineer internship. Earn Rs 20000 monthly. Registration cost is just Rs 5000. Pay via UPI: fake@paytm. Act fast, only 2 seats left!",0
"You're hired! Role: Cybersecurity Trainee. Stipend: Rs 30000. Please verify your identity by sending your Aadhaar card, PAN card, and Rs 999 background check fee. Contact only via WhatsApp.",0
"Glad to inform you that, we have selected you for a 6 month internship by details provided by the placement dept. To ensure you will complete the project, you need to deposit 4999. Make sure you do it with 24hrs.",0
"Greetings Neha. You've been shortlisted for Software Engineer internship. Guaranteed PPO! To proceed to the final round, pay the assessment fee of Rs 3499 here: http://bit.ly/fake-payment.",0
"Glad to inform you that, we have selected you for a 48 month internship by details provided by the placement dept. To ensure you will complete the project, you need to deposit 1999. Make sure you do it with 24hrs.",0
"Greetings Divya. You've been shortlisted for Content Writer internship. Guaranteed PPO! To proceed to the final round, pay the assessment fee of Rs 2999 here: http://bit.ly/fake-payment.",0
"Greetings Aisha. You've been shortlisted for Software Engineer internship. Guaranteed PPO! To proceed to the final round, pay the assessment fee of Rs 5000 here: http://bit.ly/fake-payment.",0
"Hi Neha, your profile was selected for a premium ML Intern internship. Benefits include free MacBook and Rs 1 Lakh stipend. Pay the Rs 4999 courier charges for the laptop delivery today.",0
"Dear Karthik, we are offering a work from home Content Writer internship. Earn Rs 10000 monthly. Registration cost is just Rs 12999. Pay via UPI: fake@paytm. Act fast, only 2 seats left!",0
"Dear Divya, we are offering a work from home Content Writer internship. Earn Rs 60000 monthly. Registration cost is just Rs 3499. Pay via UPI: fake@paytm. Act fast, only 2 seats left!",0
"Glad to inform you that, we have selected you for a 6 month internship by details provided by the placement dept. To ensure you will complete the project, you need to deposit 1999. Make sure you do it with 24hrs.",0
"Dear Divya, we are offering a work from home ML Intern internship. Earn Rs 60000 monthly. Registration cost is just Rs 3499. Pay via UPI: fake@paytm. Act fast, only 2 seats left!",0
"Greetings Manish. You've been shortlisted for Graphic Designer internship. Guaranteed PPO! To proceed to the final round, pay the assessment fee of Rs 3499 here: http://bit.ly/fake-payment.",0
"Dear Divya, we are offering a work from home Frontend Developer internship. Earn Rs 10000 monthly. Registration cost is just Rs 999. Pay via UPI: fake@paytm. Act fast, only 2 seats left!",0
