message,label
"Hi Rahul, Congratulations on being selected for the Software Development Internship at NexaByte Solutions. Duration: 3 months, Stipend: Rs 15000/month, Start Date: 10 May 2026. Please confirm your acceptance here on WhatsApp within 24 hours so we can proceed with your onboarding. Congrats! Anjali Sharma, HR Team",1
"Dear Candidate, We are pleased to offer you an internship at TechNova Solutions. Role: Frontend Developer Intern. Duration: 3 months. Stipend: Rs 12000/month. Start: June 2026. Please reply to confirm your interest and we will send the formal offer letter to your email. Regards, HR Team TechNova",1
"Hi Meera, After reviewing your application and portfolio, we would like to offer you a UX Design Internship at DesignHub. Stipend: Rs 18000/month. Duration: May-July 2026. Location: Remote. Please confirm by replying to this message. Your offer letter will follow via email. Best, Ravi Kumar, DesignHub HR",1
"Dear Amit, Based on your interview performance, you have been selected for a Data Analyst Internship at InfoEdge. Details: 3 months, Rs 25000/month, Noida office. Kindly confirm your acceptance so we can initiate the onboarding process. Offer letter will be shared on your email. Regards, InfoEdge Talent Team",1
"Hello Priya, We are happy to inform you about your selection for the Content Writing Internship at MediaPulse. Duration: 2 months, Stipend: Rs 10000/month, Remote. Please confirm your joining and we will share the agreement via email. Looking forward to working with you! MediaPulse HR",1
"Hi Karthik, Congratulations! You have been selected as a Backend Developer Intern at CodeCraft Technologies. Start Date: 1st June 2026, Stipend: Rs 20000/month, Duration: 3 months, Location: Hyderabad. Reply YES to confirm. Formal documentation will be sent to your registered email. Welcome aboard! CodeCraft HR",1
"Dear Shreya, After your excellent performance in the assessment round, we are offering you the Marketing Intern position at BrandWave. Details: 3 months, Rs 15000/month, Mumbai (Hybrid). Please confirm your acceptance within 5 days. The offer letter and joining kit details will be emailed to you. Best regards, BrandWave Recruitment",1
"Hi Rohan, We are pleased to extend an internship offer from CloudByte Systems. Role: DevOps Intern, Duration: 4 months, Stipend: Rs 30000/month, Location: Pune. Your formal offer will be sent via email shortly. Please sign and return it within 7 days. Contact: hr@cloudbyte.com for queries. CloudByte Campus Team",1
"Dear Ananya, Congratulations on your selection for the Summer Research Internship at IIT Delhi's Computer Science department. Duration: May-July 2026. Stipend: Rs 15000/month. Your professor mentor will be Dr. Sharma. Please confirm by emailing cse.internships@iitd.ac.in with your acceptance. Welcome!",1
"Hi Vikram, We're happy to share that you've been selected for the Mobile App Development Internship at AppForge. Duration: 3 months starting June 2026. Stipend: Rs 22000/month. Remote work. Please reply to confirm and we'll send your agreement. Best, Neha, AppForge HR Team",1
